char,total_strokes,radical,meaning,category,components,all_radicals
芙,7,140.4,hibiscus,Both,"('艹', '夫')","['人', '艸', '二']"
芶,7,140.4,surname,Both,"('艹', '勾')","['勹', '厶', '艸']"
葢,12,140.9,"cover, hide, protect",Both,"('艹', '盇')","['丶', '大', '艸', '皿']"
落,12,140.9,"fall, drop; net income, surplus",Both,"('艹', '洛')","['口', '水', '艸', '夂']"
蓏,13,140.10,fruit of plant; melon,Both,"('艹', '㼌')","['艸', '瓜']"
芝,6,140.4,sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and felicitous plant' (Karlgren),Both,"('艹', '之')","['丶', '戈', '玉', '艸']"
蓝,13,140.10,blue; indigo plant; surname,Simplified,"('艹', '监')","['丿', '丶', '丨', '皿', '一', '艸']"
蒯,13,140.10,a rush,Both,"('萠', '刂')","['月', '刀', '艸']"
蘥,20,140.17,"oats; bromes, an annual herb that can be used as pasture and feed",Both,"('艹', '龠')","['龠', '艸']"
芧,7,140.4,chestnut oak,Both,"('艹', '予')","['艸', '亅', '乙']"
蕙,15,140.12,species of fragrant orchid,Both,"('艹', '惠')","['心', '丨', '十', '日', '艸']"
蕰,15,140.12,the hippuris or mare's tail plant,Simplified,"('艹', '温')","['日', '水', '皿', '艸']"
藥,18,140.15,"drugs, pharmaceuticals, medicine",Traditional,"('艹', '樂')","['幺', '艸', '白', '木']"
荀,9,140.6,surname; ancient state; plant,Both,"('艹', '旬')","['勹', '艸', '日']"
萇,11,140.8,"star fruit, Averrhoa carambola; surname",Traditional,"('艹', '長')","['艸', '長']"
菱,11,140.8,"water-chestnut, water caltrop",Both,"('艹', '夌')","['土', '八', '艸', '夂']"
葆,12,140.9,"reserve, preserve; conceal",Both,"('艹', '保')","['人', '木', '艸', '口']"
苈,7,140.4,Draba nemorosa,Simplified,"('艹', '历')","['艸', '厂', '力']"
萤,11,140.8,"glow-worm, luminous insect",Simplified,"('艹', '虫')","['冖', '虫', '艸']"
