char,decomposition
蒸,"['火', '水', '一', '艸', '乙']"
蔸,"['白', '艸', '儿']"
菲,"['艸', '非']"
芒,"['丶', '匸', '艸']"
莊,"['爿', '艸', '士']"
芙,"['人', '艸', '二']"
萨,"['立', '艸', '阝', '厂']"
芍,"['勹', '丶', '艸']"
萄,"['勹', '艸', '缶']"
苁,"['人', '艸']"
蔂,"['艸', '田', '糸']"
芹,"['斤', '艸']"
藺,"['隹', '艸', '門']"
莟,"['人', '丶', '艸', '口']"
蕺,"['耳', '戈', '艸', '口']"
荄,"['人', '亠', '丨', '艸']"
薉,"['止', '丿', '厂', '戈', '小', '一', '艸']"
葭,"['又', '二', '尸', '艸']"
茠,"['人', '木', '艸']"
蒽,"['心', '囗', '大', '艸']"
蘭,"['門', '八', '丨', '木', '艸', '口']"
苛,"['一', '口', '艸', '亅']"
薄,"['丶', '水', '寸', '用', '十', '艸']"
芑,"['己', '艸']"
薓,"['又', '水', '巾', '彐', '冖', '艸']"
蕣,"['冖', '舛', '艸', '爪']"
蔭,"['人', '丶', '二', '厶', '阝', '艸']"
蕒,"['貝', '网', '艸']"
蒋,"['人', '手', '十', '亠', '小', '爿', '艸']"
蕾,"['田', '艸', '雨']"
薷,"['而', '艸', '雨']"
藏,"['厂', '臣', '戈', '爿', '艸']"
茯,"['人', '艸', '犬']"
蒹,"['一', '八', '艸', '彐']"
葉,"['廾', '木', '艸']"
苘,"['口', '艸', '冂']"
蕨,"['八', '屮', '厂', '一', '欠', '艸']"
荏,"['人', '艸', '士']"
蘓,"['禾', '艸', '魚']"
薤,"['艸', '歹', '非']"
荧,"['冖', '火', '艸']"
莳,"['日', '艸', '寸']"
苡,"['人', '丶', '艸', '乙']"
茼,"['一', '口', '艸', '冂']"
薘,"['羊', '土', '艸', '辵']"
茄,"['口', '艸', '力']"
蔯,"['日', '艸', '木', '阝']"
荃,"['人', '玉', '艸']"
蔿,"['丿', '火', '艸', '爪']"
薙,"['隹', '艸', '矢']"
薏,"['心', '艸', '音']"
薀,"['人', '水', '囗', '皿', '艸']"
菘,"['厶', '艸', '木', '八']"
蒞,"['人', '艸', '水', '立']"
蕳,"['日', '艸', '門']"
薊,"['艸', '魚', '刀']"
蓬,"['二', '夂', '丨', '一', '艸', '辵']"
荆,"['一', '刀', '廾', '艸']"
艺,"['艸', '乙']"
藓,"['鱼', '羊', '艸']"
葷,"['冖', '車', '艸']"
茫,"['水', '丶', '匸', '艸']"
芔,"['屮', '艸']"
茅,"['矛', '艸']"
蓥,"['冖', '金', '艸']"
蔟,"['丿', '方', '矢', '一', '艸']"
苫,"['卜', '艸', '口']"
荫,"['月', '艸', '阝']"
荟,"['人', '艸', '厶', '二']"
虆,"['糸', '艸', '田']"
葁,"['羊', '艸', '女']"
藦,"['艸', '麻', '手']"
蔞,"['女', '十', '艸', '口']"
芿,"['丿', '艸', '人']"
菎,"['日', '艸', '比']"
茴,"['囗', '艸']"
蘞,"['一', '人', '艸', '攴']"
芾,"['十', '艸', '巾']"
蔫,"['一', '火', '艸', '止']"
菡,"['凵', '艸', '亅', '冫']"
苦,"['十', '艸', '口']"
塟,"['土', '艸', '匕', '歹']"
茸,"['艸', '耳']"
莻,"['丿', '乙', '一', '艸', '口']"
蕋,"['止', '艸']"
茣,"['一', '大', '艸', '口']"
萝,"['网', '艸', '夕']"
茷,"['人', '戈', '艸']"
蓌,"['土', '艸', '夂', '人']"
蒇,"['艸', '戈', '贝', '厂']"
萱,"['宀', '一', '艸', '日']"
蕪,"['火', '艸']"
荦,"['冖', '牛', '艸']"
荪,"['子', '艸', '小']"
蓗,"['彳', '艸', '走']"
蒻,"['弓', '艸', '冫']"
菏,"['亅', '水', '一', '艸', '口']"
莶,"['一', '人', '艸', '小']"
蔛,"['角', '艸', '斗']"
蕑,"['月', '艸', '門']"
苠,"['一', '己', '艸']"
莛,"['廴', '艸', '士']"
蘋,"['丿', '止', '小', '頁', '艸']"
莒,"['艸', '口']"
藇,"['八', '丨', '臼', '一', '艸']"
蕗,"['口', '艸', '夂', '⻊']"
薌,"['丿', '丶', '丨', '彐', '阝', '艸', '乙']"
薿,"['疋', '匕', '艸', '矢']"
荵,"['心', '刀', '艸', '丶']"
