Radical No.,Radical,unicode,English,Pinyin,Stroke Count,Variant,unicode2,additional info.
1,一,U+4E00,one,yī,1,,,
2,丨,U+4E28,line,shù,1,,,
3,丶,U+4E36,dot,diǎn,1,,,
4,丿,U+4E3F,slash,piě,1,"乀,乁","U+4E40, U+4E41",
5,乙,U+4E59,second,yǐ,1,"乚,乛","U+4E5A, U+4E5B",
6,亅,U+4E85,hook,gōu,1,,,
7,二,U+4E8C,two,èr,2,,,
8,亠,U+4EA0,lid,tóu,2,,,
9,亻,U+4EBB,person,rén,2,人,U+4EBA,
10,儿,U+513F,legs,ér,2,,,
11,入,U+5165,enter,rù,2,,,
12,丷,U+4E37,eight,bā,2,八,U+516B,
13,冂,U+5182,down box,jiǒng,2,,,
14,冖,U+5196,cover,mì,2,,,
15,冫,U+51AB,ice,bīng,2,,,
16,几,U+51E0,table,"jī,jǐ",2,,,
17,凵,U+51F5,open box,qǔ,2,,,
18,刂,U+5202,knife,dāo,2,刀,U+5200,
19,力,U+529B,power,lì,2,,,
20,勹,U+52F9,wrap,bāo,2,,,
21,匕,U+5315,ladle,bǐ,2,,,
22,匚,U+531A,right open box,fāng,2,,,
23,匸,U+5338,hiding enclosure,xǐ,2,,,
24,十,U+5341,ten,shí,2,,,
25,卜,U+535C,divination,bǔ,2,,,
26,卩,U+5369,seal,jié,2,,,
27,厂,U+5382,cliff,hàn,2,,,
28,厶,U+53B6,private,sī,2,,,
29,又,U+53C8,again,yòu,2,,,
30,口,U+53E3,mouth,kǒu,3,,,
31,囗,U+56D7,enclosure,wéi,3,,,
32,土,U+571F,earth,tǔ,3,,,
33,士,U+58EB,scholar,shì,3,,,
34,夂,U+5902,go,zhī,3,,,
35,夊,U+590A,go slowly,suī,3,,,
36,夕,U+5915,night,xī,3,,,
37,大,U+5927,big,dà,3,,,
38,女,U+5973,woman,nǚ,3,,,
39,子,U+5B50,child,zǐ,3,,,
40,宀,U+5B80,roof,mián,3,,,
41,寸,U+5BF8,inch,cùn,3,,,
42,小,U+5C0F,small,xiǎo,3,,,
43,尢,U+5C22,lame,yóu,3,尣,U+5C23,
44,尸,U+5C38,corpse,shī,3,,,
45,屮,U+5C6E,sprout,chè,3,,,
46,山,U+5C71,mountain,shān,3,,,
47,川,U+5DDD,river,chuān,3,"巛,巜","U+5DDB, U+5DDC",
48,工,U+5DE5,work,gōng,3,,,
49,己,U+5DF1,oneself,jǐ,3,,,
50,巾,U+5DFE,towel,jīn,3,,,
51,干,U+5E72,dry,gān,3,,,
52,幺,U+5E7A,thread,yāo,3,,,
53,广,U+5E7F,shelter,guǎng,3,,,
54,廴,U+5EF4,stride,yǐn,3,,,
55,廾,U+5EFE,hands joined,gǒng,3,,,
56,弋,U+5F0B,shoot with a bow,yì,3,,,
57,弓,U+5F13,bow,gōng,3,,,
58,彐,U+5F50,snout,jì,3,彑,U+5F51,
59,彡,U+5F61,hair,shān,3,,,
60,彳,U+5F73,step,chì,3,,,
61,心,U+5FC3,heart,xīn,4,忄,U+5FC4,
62,戈,U+6208,spear,gē,4,,,
63,户,U+6237,door,hù,4,,,
64,扌,U+624C,hand,shǒu,3,手,U+624B,
