char,category
葍,Unknown
蓌,Unknown
芀,Unknown
茣,Both
苉,Both
莻,Unknown
蒦,Both
蓙,Unknown
莵,Unknown
苽,Unknown
薾,Unknown
茘,Unknown
茦,Unknown
葽,Unknown
蘴,Unknown
葠,Unknown
薙,Both
苘,Unknown
薫,Unknown
苲,Both
薬,Unknown
葈,Unknown
蔆,Unknown
菐,Both
苅,Unknown
茓,Both
荁,Both
萕,Unknown
蒖,Unknown
蔲,Both
茞,Unknown
薗,Unknown
薢,Unknown
荘,Unknown
蘓,Unknown
萅,Unknown
蓰,Unknown
蔕,Unknown
葊,Unknown
潵,Both
洮,Both
洪,Both
淴,Both
洑,Both
溵,Both
滓,Both
瀸,Both
淟,Both
淢,Both
湍,Both
淸,Unknown
泌,Both
洽,Both
済,Unknown
澎,Both
泵,Both
洭,Both
湃,Both
浥,Both
淦,Both
洣,Both
源,Both
涯,Both
渓,Unknown
瀑,Both
沢,Unknown
灨,Unknown
湅,Both
涪,Both
涒,Both
涸,Both
滆,Both
沷,Both
湜,Both
潞,Both
沂,Both
淌,Both
渥,Both
泮,Both
洏,Both
沓,Both
汔,Both
汕,Both
澼,Both
漩,Both
洇,Both
涑,Both
汜,Both
濠,Both
淑,Both
濉,Both
涉,Both
泐,Both
氿,Both
浡,Both
汈,Both
沺,Both
永,Both
湟,Both
沰,Both
汛,Both
沏,Both
渇,Unknown
汴,Both
沚,Both
洟,Both
洸,Both
潭,Both
浦,Both
渕,Unknown
泙,Both
澝,Unknown
沅,Both
漪,Both
泳,Both
潮,Both
漷,Both
沃,Both
澂,Unknown
洎,Both
滀,Both
滏,Both
滁,Both
沌,Both
瀹,Both
求,Both
浞,Both
滴,Both
法,Both
灋,Both
洛,Both
洋,Both
灎,Unknown
漯,Both
澧,Both
澍,Both
汀,Both
泭,Unknown
沇,Both
汪,Both
沁,Both
渲,Both
潅,Unknown
泓,Both
演,Both
漕,Both
浙,Both
泊,Both
瀣,Both
瀽,Both
淤,Both
涮,Both
沴,Both
派,Both
灔,Unknown
汁,Both
澔,Unknown
潼,Both
湘,Both
満,Unknown
漑,Unknown
河,Both
浬,Both
滇,Both
溷,Both
湩,Both
灢,Both
淖,Both
潀,Both
汗,Both
洙,Both
浯,Both
淇,Both
汶,Both
浩,Both
濳,Unknown
湲,Both
氶,Both
渮,Unknown
洨,Both
激,Both
湣,Both
浄,Unknown
添,Both
溘,Both
濞,Both
溟,Both
瀬,Unknown
溶,Both
滋,Both
渡,Both
沆,Both
溜,Both
汞,Both
渺,Both
